"jurisd","n"
"COMMERCE CITY",26627
"Parker",21025
"NORTHGLENN",10473
"FREDERICK",8983
"BRIGHTON",5034
"DENVER",3845
"CENTENNIAL",3565
"JeffCo",3189
"AURORA",2908
"Arvada",2842
"Longmont",2269
"AdamsCo_Unincorporated",1219
"ARAPAHOE",1087
"THORNTON",1017
"DouglasCo_Unincorporated",945
"Lakewood",700
"Wheat Ridge",547
"GREENWOOD VILLAGE",496
"WESTMINSTER",480
"Boulder",349
"LOCHBUIE",303
"BoulderCo_Unincorporated",290
"LITTLETON",280
"Castle Rock",272
"Lafayette",263
"SHERIDAN",243
"FIRESTONE",221
"Broomfield",214
"BENNETT",189
"Golden",178
"ERIE",166
"Louisville",166
"ENGLEWOOD",86
"Lone Tree",62
"FEDERAL HEIGHTS",46
"Superior",42
"Boulder County",30
"Larkspur",26
"LYONS",25
"GLENDALE",19
"Castle Pines",18
"DACONO",13
"MORRISON",12
"EDGEWATER",10
"MEAD",10
"NEDERLAND",10
"Mountain_View",9
"CHERRY HILLS VILLAGE",8
"FOXFIELD",7
"COLUMBINE VALLEY",6
"BOW MAR",4
