"year","jobs_both_metro","jobs_same_msa","pct_dropped_cross_msa"
2011,1244934,1100644,11.5901726517229
2012,1279661,1134261,11.3623842564554
2013,1300312,1149472,11.6002928527922
2014,1349602,1190277,11.8053322386896
2015,1419020,1258197,11.3333850121915
2016,1451880,1284109,11.5554315783674
2017,1471089,1295141,11.9603912475724
2018,1515904,1334422,11.9718662923246
2019,1536987,1348272,12.278243082082
2020,1476763,1292516,12.4764095525145
2021,1459445,1270199,12.9669840247491
2022,1561248,1353005,13.3382396646785
2023,1598647,1383169,13.4787729874075
