"year","n_tracts","pctna_wexp_whiteblack_wac_half","pctna_d_whiteblack_rac_half","pctna_pct_res_low","pctna_pct_reslow_of_res","pctna_pct_adu_res","pctna_zoning_entropy","pctna_pct_job_zone","pctna_mean_dist_km","pctna_pct_black_rac","pctna_income_percapita"
2011,720,0,0.1,0,0.1,0.7,0,0,0,0,1.1
2012,720,0,0.3,0,0.1,0.7,0,0,0,0,1
2013,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2014,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2015,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2016,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2017,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2018,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2019,720,0,0.1,0,0.1,0.7,0,0,0,0,1
2020,724,0,0.3,0,0.1,0.7,0,0,0,0,1.2
2021,724,0,0.3,0,0.1,0.7,0,0,0,0,1.2
2022,724,0,0.3,0,0.1,0.7,0,0,0,0,1.2
2023,724,0,0.4,0,0.1,0.7,0,0,0,0,1.2
