"jurisd_main","n_tracts","mean_adu","mean_dist_cbd"
"Lakewood",41,99.5933347309759,10.8244400064644
"DouglasCo_Unincorporated",55,98.2756125770622,33.4676856694172
"JeffCo",54,96.3281580175729,22.4626469384899
"Arvada",20,96.2143486100338,13.1881140075827
"LITTLETON",13,94.0923300050761,17.5094601935367
"AURORA",82,93.7781970659008,18.6691444743307
"AdamsCo_Unincorporated",28,77.9471964378395,18.093664338412
"ENGLEWOOD",12,61.0562495837602,11.8103706155828
"THORNTON",26,53.7935590889484,17.7855267094871
"DENVER",178,53.7265845847143,7.65818190954162
"ARAPAHOE",28,37.7614981426234,24.4619832320089
"Parker",8,35.6466183873319,32.7636685391204
"Broomfield",23,24.4082406532751,22.1472762528614
"WESTMINSTER",24,9.01984802666757,15.0511131120376
"CENTENNIAL",17,3.69852409719448,21.4419710898399
