"construction","primary","mode","form","spec","estimate","std.error","p.value","n_obs"
"block_pop|zero",TRUE,"auto","log","C_network",0.00206588635593036,0.00989876483834598,0.836307748515406,646
"block_pop|zero",TRUE,"auto","log","D_position_net",0.076692511696532,0.0256836076914965,0.00608804282850945,646
"block_pop|zero",TRUE,"auto","log","ACCESSxSEG",-0.0125972657788747,0.010573653523611,0.244265968425639,646
"block_pop|zero",TRUE,"auto","log_wins","C_network",-0.115013950804617,0.0118513605216716,3.94276061757351e-10,646
"block_pop|zero",TRUE,"auto","log_wins","D_position_net",-0.00512204007697381,0.0514692216270151,0.921491490149598,646
"block_pop|zero",TRUE,"auto","log_wins","ACCESSxSEG",-0.129700967294618,0.0157755314863255,1.05558252826184e-08,646
"block_pop|zero",TRUE,"auto","log_trim","C_network",-0.0554773004736669,0.0207284884818716,0.0127117796152938,644
"block_pop|zero",TRUE,"auto","log_trim","D_position_net",0.0377807379995048,0.0406079745324099,0.36073439524316,644
"block_pop|zero",TRUE,"auto","log_trim","ACCESSxSEG",-0.070592536285249,0.0205809349778925,0.00202544364741543,644
"block_pop|zero",TRUE,"auto","rank","C_network",-0.197873815061379,0.053746752974886,0.00106644190083735,646
"block_pop|zero",TRUE,"auto","rank","D_position_net",-0.0318617495777125,0.0910216952252195,0.729124270514064,646
"block_pop|zero",TRUE,"auto","rank","ACCESSxSEG",-0.27215414480157,0.0489350796450995,7.68551158578328e-06,646
"block_pop|zero",TRUE,"auto","log1p","C_network",0.00195419533386859,0.00990052095930684,0.845062761144616,646
"block_pop|zero",TRUE,"auto","log1p","D_position_net",0.0766784487476013,0.0257305439878281,0.00617710304947749,646
"block_pop|zero",TRUE,"auto","log1p","ACCESSxSEG",-0.012717266148646,0.0105791295892325,0.240155958181613,646
"block_pop|zero",TRUE,"transit","log","C_network",-0.103808224389945,0.0887140426624927,0.253925593836561,488
"block_pop|zero",TRUE,"transit","log","D_position_net",-0.126160699426414,0.102087494202158,0.229003027621902,488
"block_pop|zero",TRUE,"transit","log","ACCESSxSEG",-0.11281117189358,0.0876192782412766,0.21072013201861,488
"block_pop|zero",TRUE,"transit","log_wins","C_network",-0.0610572693748645,0.112882483622945,0.593782246549089,488
"block_pop|zero",TRUE,"transit","log_wins","D_position_net",-0.016518361397611,0.0825613935089641,0.843181437061922,488
"block_pop|zero",TRUE,"transit","log_wins","ACCESSxSEG",-0.0835951195298267,0.122915186938092,0.503227409395437,488
"block_pop|zero",TRUE,"transit","log_trim","C_network",0.0774865886950438,0.0289684782869809,0.0135279241417972,479
"block_pop|zero",TRUE,"transit","log_trim","D_position_net",0.0385468148914121,0.038711523339251,0.329735189316524,479
"block_pop|zero",TRUE,"transit","log_trim","ACCESSxSEG",0.0742484399694163,0.0294566711487156,0.019104670942486,479
"block_pop|zero",TRUE,"transit","rank","C_network",-0.00824922843056036,0.0905640796371315,0.928211963393631,488
"block_pop|zero",TRUE,"transit","rank","D_position_net",0.108569018051436,0.0342331040002509,0.00425909679003815,488
"block_pop|zero",TRUE,"transit","rank","ACCESSxSEG",-0.0477977241460122,0.110749714607543,0.670062948879386,488
"block_pop|zero",TRUE,"transit","log1p","C_network",-0.0921546442126324,0.0527279052524961,0.0923112749352646,646
"block_pop|zero",TRUE,"transit","log1p","D_position_net",-0.00961095841352932,0.0615550961227434,0.877131931328028,646
"block_pop|zero",TRUE,"transit","log1p","ACCESSxSEG",-0.232658176321499,0.0446453792939372,1.92596570367839e-05,646
"block_pop|missing",FALSE,"auto","log","C_network",0.00206588635593036,0.00989876483834598,0.836307748515406,646
"block_pop|missing",FALSE,"auto","log","D_position_net",0.076692511696532,0.0256836076914965,0.00608804282850945,646
"block_pop|missing",FALSE,"auto","log","ACCESSxSEG",-0.0125972657788747,0.010573653523611,0.244265968425639,646
"block_pop|missing",FALSE,"auto","log_wins","C_network",-0.115013950804617,0.0118513605216716,3.94276061757351e-10,646
"block_pop|missing",FALSE,"auto","log_wins","D_position_net",-0.00512204007697381,0.0514692216270151,0.921491490149598,646
"block_pop|missing",FALSE,"auto","log_wins","ACCESSxSEG",-0.129700967294618,0.0157755314863255,1.05558252826184e-08,646
