"jurisd","polygons","tracts_dominant","tracts_in_frame"
"COMMERCE CITY",26627,11,4
"Parker",21025,8,8
"NORTHGLENN",10473,7,4
"FREDERICK",8983,9,0
"BRIGHTON",5034,10,6
"DENVER",3845,178,178
"CENTENNIAL",3565,24,17
"JeffCo",3189,60,54
"AURORA",2908,82,82
"Arvada",2842,28,20
"Longmont",2269,17,0
"AdamsCo_Unincorporated",1219,32,28
"ARAPAHOE",1087,32,28
"THORNTON",1017,26,26
"DouglasCo_Unincorporated",945,59,55
"Lakewood",700,41,41
"Wheat Ridge",547,8,7
"GREENWOOD VILLAGE",496,7,6
"WESTMINSTER",480,24,24
"Boulder",349,23,0
"LOCHBUIE",303,1,0
"BoulderCo_Unincorporated",290,34,0
"LITTLETON",280,13,13
"Castle Rock",272,5,5
"Lafayette",263,6,0
"SHERIDAN",243,1,0
"FIRESTONE",221,5,0
"Broomfield",214,24,23
"BENNETT",189,0,0
"Golden",178,4,4
"ERIE",166,3,0
"Louisville",166,4,0
"ENGLEWOOD",86,12,12
"Lone Tree",62,2,2
"FEDERAL HEIGHTS",46,3,3
"Superior",42,3,0
"Boulder County",30,0,0
"Larkspur",26,0,0
"LYONS",25,0,0
"GLENDALE",19,2,2
"Castle Pines",18,2,2
"DACONO",13,3,0
"MORRISON",12,0,0
"EDGEWATER",10,1,0
"MEAD",10,2,0
"NEDERLAND",10,0,0
"Mountain_View",9,0,0
"CHERRY HILLS VILLAGE",8,2,2
"FOXFIELD",7,0,0
"COLUMBINE VALLEY",6,0,0
"BOW MAR",4,0,0
