"jurisd_main","n_tracts","workers_housed","res_lowwage","jobs_hosted","lowwage_jobs","mean_pct_reslow","inflow_total","inflow_imported","low_total","low_imported","lowwage_share_imported","lowwage_share_retained","dist_imported","dist_retained","outflow_total","retained","jobs_per_worker","pct_residents_retained","pct_jobs_imported","pct_lowwage_jobs_imported","net_flow_import","lowwage_share_resworkers"
"ARAPAHOE",28,58059,6145,60674,5806,60.2603141323286,47564,42511,4526,3979,9.35993037096281,10.8252523253513,18.2376859789936,8.19170255385309,51334,5053,1.04504038994816,9.84337865742003,89.3764191405265,87.9142730888202,-3770,10.5840610413545
"AURORA",82,169787,18921,157033,17460,52.0113525580058,122619,84276,13627,8706,10.3303431581945,12.8341548652948,19.9414134528065,7.81284161235949,150377,38343,0.924882352594722,25.4979152396976,68.7299684388227,63.8878696705071,-27758,11.1439627297732
"AdamsCo_Unincorporated",28,54308,5844,59325,6754,81.7336458391102,41988,36113,4677,3996,11.065267355246,11.5914893617021,18.2139875006306,9.42801539163602,43783,5875,1.09238049642778,13.4184500833657,86.0079070210536,85.4393842206543,-1795,10.7608455476173
"Arvada",20,41081,4245,19405,3018,80.1930963829826,14509,11601,2289,1702,14.671149038876,20.1856946354883,17.8855510706076,3.3252591422709,32631,2908,0.472359484920036,8.91177101529221,79.9572679026811,74.3556138051551,-18122,10.3332440787712
"BRIGHTON",6,12831,1444,7162,940,80.4442296630036,4145,3419,562,436,12.7522667446622,17.3553719008264,27.3233666454279,2.21333763412775,9552,726,0.558179409243239,7.60050251256281,82.4849215922799,77.5800711743772,-5407,11.2539942327176
"Broomfield",23,37567,3967,38768,4271,31.6421086717051,25351,20995,2744,2059,9.80709692783996,15.7254361799816,22.7440585417154,4.05164991995583,24676,4356,1.03196954774137,17.6527800291781,82.8172458680131,75.036443148688,675,10.5597998243139
"CENTENNIAL",17,33659,3621,40318,4267,80.0137471553224,31492,28870,3282,2869,9.93765154139245,15.7513348588863,17.4956889728769,3.43821381521821,29583,2622,1.1978371312279,8.86319845857418,91.6740759557983,87.4162096282754,1909,10.7578953623102
"CHERRY HILLS VILLAGE",2,2210,210,1471,182,99.936761123287,1267,1155,155,148,12.8138528138528,6.25,13.5526044887537,0.161432696442311,1902,112,0.665610859728507,5.88853838065195,91.1602209944751,95.4838709677419,-635,9.50226244343891
"COMMERCE CITY",4,8755,1057,24666,1834,72.7144226945147,17064,16325,1328,1245,7.62633996937213,11.2313937753721,17.5928777274282,2.92109351881835,7215,739,2.81736150770988,10.2425502425502,95.6692451945617,93.75,9849,12.0731010850942
"Castle Pines",2,5618,710,1911,314,98.5137038107401,1483,1205,240,194,16.0995850622407,16.5467625899281,22.8652566079704,0.524215620579775,4885,278,0.340156639373442,5.69089048106448,81.254214430209,80.8333333333333,-3402,12.6379494482022
"Castle Rock",5,20229,2265,16811,2310,86.0943204404412,13825,11018,1973,1484,13.4688691232529,17.4207338795867,21.6573673085484,2.66388691803741,17313,2807,0.831034653220624,16.2132501588402,79.6962025316456,75.2154080081095,-3488,11.1967966780365
"DENVER",178,342003,32444,523496,44274,44.106676266925,411563,257969,34074,20696,8.02266939050816,8.7099756500905,19.4819855959174,7.29830899777594,297867,153594,1.53067663149154,51.5646244800532,62.6803186875399,60.7383929095498,113696,9.48646649298398
"DouglasCo_Unincorporated",55,133457,14119,90074,10190,87.4614603049057,71127,49934,8125,5076,10.1654183522249,14.3868258387203,21.9642967662618,9.63126545912992,116110,21193,0.674929003349393,18.2525191628628,70.204001293461,62.4738461538462,-44983,10.5794375716523
"ENGLEWOOD",12,19083,1951,31077,3164,57.0618163652619,25216,23443,2550,2342,9.99018896898861,11.7315284827975,15.7141087649236,1.78433281187813,16719,1773,1.62851752869046,10.6047012381123,92.96875,91.843137254902,8497,10.2237593669758
"FEDERAL HEIGHTS",3,4200,497,2641,421,20.3700041205466,1876,1814,318,307,16.9239250275634,17.741935483871,13.9495643031943,0.532471374086533,3306,62,0.628809523809524,1.87537810042347,96.6950959488273,96.5408805031446,-1430,11.8333333333333
