"spec","variant","estimate","std.error","p.value","n_obs"
"naive","decay_quarter",0.402076662616458,0.0755674671647794,1.44414527779825e-05,646
"preferred","decay_quarter",0.0959135272181619,0.0552657082385068,0.0944922812036185,646
"naive","decay_half",0.333207567186429,0.0663305897014393,3.15901067444759e-05,646
"preferred","decay_half",0.102464881345509,0.046909861480522,0.0381513698705084,646
"naive","decay_one",0.297110511748797,0.0591585350743843,3.16869998062468e-05,646
"preferred","decay_one",0.124018141813928,0.0461158852399142,0.0123356713452945,646
"naive","decay_aspatial",0.0823601420417009,0.0406109616623706,0.0529191909731696,646
"preferred","decay_aspatial",0.0280326348783686,0.0301571568182618,0.361153882769523,646
"naive","maxdist_5km",0.362763565928784,0.0711806197855917,2.60630795428453e-05,646
"preferred","maxdist_5km",0.106319670350206,0.0499533367269643,0.0429467025652658,646
"naive","maxdist_20km",0.331305509456072,0.0657355982527688,3.02421989856608e-05,646
"preferred","maxdist_20km",0.103235930886463,0.0467554127942328,0.0362677929377801,646
