"group","n","realized","accessible","gap","split"
1,66,0.0209627831766203,0.0175014786071358,0.00336815314765016,"res_seg_decile"
2,66,0.0208171665315718,0.0177598294162495,0.00305733711532231,"res_seg_decile"
3,66,0.0216889927467202,0.018447798885092,0.00324119386162821,"res_seg_decile"
4,66,0.0225078438526188,0.0187913104789024,0.00364634762017326,"res_seg_decile"
5,65,0.0219984986014028,0.0189903230662438,0.003008175535159,"res_seg_decile"
6,65,0.0223386173920862,0.0186512836856836,0.0033936930544496,"res_seg_decile"
7,65,0.023152188835642,0.0201792857007684,0.00292826698427707,"res_seg_decile"
8,65,0.0235248100562758,0.0203243846462756,0.00315079284306154,"res_seg_decile"
9,65,0.0244657778193494,0.0213972759041045,0.00291430667027841,"res_seg_decile"
10,65,0.0344670204127958,0.0298640466681588,0.00471652606067702,"res_seg_decile"
NA,2,0.0241397375857378,NA,NA,"res_seg_decile"
1,219,0.0211850712993526,0.0180624941225925,0.00311530101532761,"exclusionary_tercile"
2,219,0.0223924290813176,0.0191337995923987,0.00325862948891892,"exclusionary_tercile"
3,218,0.0271826795446909,0.023457328027737,0.00366200439655479,"exclusionary_tercile"
