"statistic","value"
"n_jurisdictions_key_test","24"
"weighted_r","0.250111358230248"
"slope","0.172160069230154"
"slope_p","0.238505738462643"
"n_exclusionary_jurisdictions","11"
"lowwage_jobs_hosted_exclusionary","42041"
"pct_lowwage_imported_exclusionary","73.2396095524587"
"pct_lowwage_imported_region","71.670524424791"
"pct_region_jobs_exclusionary","23.4409116903658"
"pct_region_workers_exclusionary","32.3166409757859"
"lowwage_share_imported","11.4247408365055"
"lowwage_share_retained","15.4259930991772"
"km_imported","20.159840276686"
"km_retained","8.32713866375663"
