"statistic","value"
"n_work_tracts","651"
"pct_var_accessible_housing","47.281484733933"
"pct_var_sorting_gap","52.7185152660669"
"cor_accessible_gap","0.406029781406747"
"z_mean_dist_km_work_naive_estimate","-0.124044644073887"
"z_mean_dist_km_work_naive_p","0.024619560206004"
"z_mean_dist_km_work_position_estimate","-0.0991401126152397"
"z_mean_dist_km_work_position_p","0.0349644981085862"
"z_mean_dist_km_work_n_obs","651"
"z_wres_whiteblack_rac_half_naive_estimate","-0.116710367949178"
"z_wres_whiteblack_rac_half_naive_p","0.0220037903127378"
"z_wres_whiteblack_rac_half_position_estimate","-0.0881435412067786"
"z_wres_whiteblack_rac_half_position_p","0.00891927170125992"
"z_wres_whiteblack_rac_half_n_obs","651"
