"dec","n","realized_labor_shed","accessible_housing","gap"
1,65,0.0312267783286841,0.0243498137299541,0.00687696459873001
2,65,0.0305656210578879,0.0238158561702665,0.00674976488762148
3,65,0.0304605725159456,0.0239904041169621,0.00647016839898348
4,65,0.0300445889022734,0.0239276977031398,0.00611689119913354
5,65,0.0308972558973923,0.0247732016438599,0.00612405425353244
6,64,0.0324090570910645,0.0253703250179542,0.00703873207311024
7,64,0.0332066598118534,0.0265719742735783,0.00663468553827502
8,64,0.0329706208717308,0.0264736538792079,0.00649696699252284
9,64,0.0359870243837391,0.0274288445723089,0.00855817981143017
10,64,0.0608457943069998,0.0405356474923758,0.020310146814624
NA,6,0.0334339474157443,0.0282420731700705,0.00519187424567379
